# u, v, w, TURN_TYPE
0, 1, 3, L2
0, 1, 40, ST
0, 4, 39, R
0, 4, 8, ST
0, 41, 5, R
1, 0, 4, R
1, 0, 41, ST
1, 3, 2, R
1, 3, 7, ST
1, 40, 2, L2
2, 6, 7, L2
2, 6, 11, ST
2, 40, 1, R
3, 1, 0, R
3, 1, 40, L2
3, 2, 6, L2
3, 2, 40, R
3, 7, 8, L2
3, 7, 12, ST
4, 0, 1, L2
4, 0, 41, R
4, 39, 3, ST
4, 8, 13, ST
4, 8, 38, L2
5, 41, 0, L2
5, 37, 4, ST
5, 35, 34, R
6, 2, 40, ST
6, 7, 3, L2
6, 7, 8, ST
6, 7, 12, R
6, 11, 12, L2
6, 11, 17, ST
7, 3, 1, ST
7, 3, 2, L2
7, 8, 4, L2
7, 8, 13, R
7, 8, 38, ST
7, 12, 13, L2
7, 12, 18, ST
7, 12, 11, R
8, 4, 0, ST
8, 4, 39, L2
8, 13, 14, L2
8, 13, 12, R
8, 13, 42, ST
8, 38, 9, ST
9, 14, 16, ST
9, 13, 14, L2
9, 13, 8, R
9, 13, 12, ST
9, 13, 42, L2
10, 34, 9, ST
11, 6, 2, ST
11, 6, 7, R
11, 12, 7, L2
11, 12, 13, ST
11, 12, 18, R
11, 17, 18, L2
11, 17, 29, ST
12, 7, 3, ST
12, 7, 8, R
12, 13, 14, ST
12, 13, 8, L2
12, 13, 42, R
12, 18, 19, L2
12, 18, 25, ST
12, 18, 17, R
12, 11, 6, R
12, 11, 17, L2
13, 14, 16, ST
13, 8, 4, ST
13, 8, 38, R
13, 12, 7, R
13, 12, 18, L2
13, 12, 11, ST
13, 42, 19, ST
14, 16, 33, ST
15, 10, 34, ST
15, 35, 5, ST
15, 35, 34, L2
16, 33, 36, ST
16, 33, 15, L2
17, 11, 6, ST
17, 11, 12, R
17, 18, 12, L2
17, 18, 19, ST
17, 18, 25, R
17, 29, 25, L2
18, 12, 7, ST
18, 12, 13, R
18, 12, 11, L2
18, 19, 42, L2
18, 19, 20, ST
18, 19, 26, R
18, 25, 29, R
18, 25, 26, L2
18, 17, 11, R
18, 17, 29, L2
19, 42, 13, ST
19, 20, 16, L2
19, 20, 21, ST
19, 26, 27, L2
19, 26, 25, R
19, 18, 12, R
19, 18, 25, L2
19, 18, 17, ST
20, 16, 33, R
20, 21, 23, ST
20, 21, 30, R
20, 19, 42, R
20, 19, 26, L2
20, 19, 18, ST
21, 23, 36, L2
21, 20, 16, R
21, 20, 19, ST
21, 30, 24, R
22, 23, 36, L2
22, 21, 23, R
22, 21, 20, ST
22, 21, 30, L2
23, 36, 10, ST
24, 27, 28, L2
24, 27, 20, R
24, 27, 26, ST
25, 29, 17, R
25, 26, 19, L2
25, 26, 27, ST
25, 18, 12, ST
25, 18, 19, R
25, 18, 17, L2
26, 19, 42, ST
26, 19, 20, R
26, 19, 18, L2
26, 27, 28, ST
26, 27, 20, L2
26, 25, 29, ST
26, 25, 18, R
27, 28, 31, ST
27, 20, 16, ST
27, 20, 21, R
27, 20, 19, L2
27, 26, 19, R
27, 26, 25, ST
28, 31, 32, L2
29, 25, 26, ST
29, 25, 18, L2
29, 17, 11, ST
29, 17, 18, R
30, 24, 27, ST
31, 32, 23, ST
32, 23, 36, ST
33, 36, 23, ST
33, 36, 10, L2
33, 15, 10, L2
33, 15, 35, ST
34, 9, 14, L2
34, 9, 13, ST
35, 5, 41, ST
35, 5, 37, L2
35, 34, 9, ST
36, 10, 34, ST
37, 4, 0, R
37, 4, 39, ST
37, 4, 8, L2
38, 9, 14, ST
38, 9, 13, R
39, 3, 1, R
39, 3, 2, ST
39, 3, 7, L2
40, 1, 0, ST
40, 1, 3, R
40, 2, 6, ST
41, 0, 1, ST
41, 0, 4, L2
41, 5, 37, R
41, 5, 35, ST
42, 13, 14, R
42, 13, 8, ST
42, 13, 12, L2
42, 19, 20, L2
42, 19, 26, ST
42, 19, 18, R
